epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.5912,0.42616,0.77944,1,0.44966,0.000471266,0.000471266,0.000471266
2,129.657,0.1689,0.92077,1,0.21558,0.000932941,0.000932941,0.000932941
3,188.52,0.12855,0.88865,1,0.35128,0.00137988,0.00137988,0.00137988
4,246.379,0.1338,0.94218,1,0.16308,0.00136269,0.00136269,0.00136269
5,302.8,0.12681,0.95503,1,0.14782,0.00134058,0.00134058,0.00134058
6,358.979,0.10475,0.96574,1,0.09072,0.00131848,0.00131848,0.00131848
7,417.349,0.07876,0.97002,1,0.0721,0.00129637,0.00129637,0.00129637
8,473.337,0.06911,0.97216,1,0.0752,0.00127427,0.00127427,0.00127427
9,530.47,0.06124,0.96574,1,0.08822,0.00125216,0.00125216,0.00125216
10,587.225,0.04382,0.97002,1,0.10058,0.00123006,0.00123006,0.00123006
11,643.994,0.04892,0.9743,1,0.079,0.00120795,0.00120795,0.00120795
12,701.415,0.05793,0.97859,1,0.0589,0.00118585,0.00118585,0.00118585
13,2166.85,0.06594,0.95931,1,0.1567,0.00116374,0.00116374,0.00116374
14,2204.86,0.06327,0.95075,1,0.13774,0.00114164,0.00114164,0.00114164
15,2244.32,0.0645,0.97645,1,0.0922,0.00111953,0.00111953,0.00111953
16,2304.7,0.05286,0.9743,1,0.08011,0.00109743,0.00109743,0.00109743
17,2361.97,0.04034,0.9636,1,0.11251,0.00107532,0.00107532,0.00107532
18,2434.69,0.03298,0.96788,1,0.10903,0.00105322,0.00105322,0.00105322
19,2548.61,0.03592,0.9743,1,0.10744,0.00103111,0.00103111,0.00103111
20,2664.5,0.02851,0.97859,1,0.12656,0.00100901,0.00100901,0.00100901
21,2772.86,0.04441,0.96788,1,0.12987,0.000986903,0.000986903,0.000986903
22,2837.87,0.02903,0.97645,1,0.12251,0.000964798,0.000964798,0.000964798
23,2894.79,0.01767,0.96146,1,0.1309,0.000942693,0.000942693,0.000942693
24,2952.51,0.02432,0.98073,1,0.09142,0.000920589,0.000920589,0.000920589
25,3303.01,0.04428,0.97002,1,0.1148,0.000898484,0.000898484,0.000898484
26,3370.78,0.03202,0.98073,1,0.084,0.000876379,0.000876379,0.000876379
27,3426.77,0.02949,0.98501,1,0.07116,0.000854274,0.000854274,0.000854274
28,3483.01,0.02698,0.9636,1,0.16798,0.000832169,0.000832169,0.000832169
29,3539.2,0.02407,0.97002,1,0.13603,0.000810064,0.000810064,0.000810064
30,3596.44,0.03386,0.9636,1,0.18797,0.00078796,0.00078796,0.00078796
31,3654.36,0.01669,0.97645,1,0.11614,0.000765855,0.000765855,0.000765855
32,3712.27,0.02757,0.96788,1,0.11519,0.00074375,0.00074375,0.00074375
33,3802.1,0.01987,0.97859,1,0.12748,0.000721645,0.000721645,0.000721645
34,3860.49,0.02036,0.9743,1,0.1443,0.00069954,0.00069954,0.00069954
35,3919.42,0.02305,0.97645,1,0.13253,0.000677435,0.000677435,0.000677435
36,3983.73,0.02842,0.97859,1,0.09635,0.00065533,0.00065533,0.00065533
37,4095.72,0.02191,0.97645,1,0.13037,0.000633226,0.000633226,0.000633226
38,4139.73,0.01759,0.97645,1,0.12673,0.000611121,0.000611121,0.000611121
39,4188.08,0.03215,0.97645,1,0.09605,0.000589016,0.000589016,0.000589016
40,4245.81,0.02432,0.97216,1,0.14809,0.000566911,0.000566911,0.000566911
41,4304.14,0.01809,0.97216,1,0.1334,0.000544806,0.000544806,0.000544806
42,4364.03,0.01549,0.9743,1,0.15716,0.000522701,0.000522701,0.000522701
43,4424.83,0.01029,0.97645,1,0.13453,0.000500597,0.000500597,0.000500597
44,4485.11,0.01791,0.97216,1,0.12944,0.000478492,0.000478492,0.000478492
45,4543.84,0.01549,0.97216,1,0.1388,0.000456387,0.000456387,0.000456387
46,4601.74,0.0179,0.97645,1,0.15857,0.000434282,0.000434282,0.000434282
47,4661.96,0.00795,0.9743,1,0.13479,0.000412177,0.000412177,0.000412177
48,4722.13,0.00848,0.9743,1,0.142,0.000390072,0.000390072,0.000390072
49,4781.29,0.01006,0.9743,1,0.157,0.000367967,0.000367967,0.000367967
50,4839.58,0.01169,0.97216,1,0.15603,0.000345863,0.000345863,0.000345863
51,4897.46,0.01096,0.97859,1,0.14505,0.000323758,0.000323758,0.000323758
52,4955.61,0.0081,0.97859,1,0.1409,0.000301653,0.000301653,0.000301653
53,5014.43,0.01037,0.97645,1,0.16171,0.000279548,0.000279548,0.000279548
54,5072.79,0.00702,0.97216,1,0.15401,0.000257443,0.000257443,0.000257443
55,5135.41,0.01327,0.9743,1,0.13115,0.000235338,0.000235338,0.000235338
56,5193.69,0.00534,0.97216,1,0.12847,0.000213234,0.000213234,0.000213234
57,5252.76,0.00736,0.9743,1,0.16089,0.000191129,0.000191129,0.000191129
58,5311.93,0.00505,0.97002,1,0.1399,0.000169024,0.000169024,0.000169024
59,5372.36,0.0076,0.97002,1,0.14429,0.000146919,0.000146919,0.000146919
60,5433.36,0.0066,0.97216,1,0.15389,0.000124814,0.000124814,0.000124814
61,5502.04,0.01146,0.97216,1,0.14982,0.000102709,0.000102709,0.000102709
62,5606.73,0.00401,0.97002,1,0.13274,8.06045e-05,8.06045e-05,8.06045e-05
63,5666.63,0.00325,0.97216,1,0.15457,5.84997e-05,5.84997e-05,5.84997e-05
64,5725.65,0.00707,0.97216,1,0.14423,3.63948e-05,3.63948e-05,3.63948e-05
