epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.6012,0.42616,0.77944,1,0.44966,0.000471266,0.000471266,0.000471266
2,135.523,0.16917,0.92291,1,0.21261,0.000900693,0.000900693,0.000900693
3,220.906,0.12519,0.88437,1,0.36123,0.00128296,0.00128296,0.00128296
4,302.91,0.12656,0.95289,1,0.12816,0.00121679,0.00121679,0.00121679
5,380.064,0.10145,0.97216,1,0.1134,0.00114606,0.00114606,0.00114606
6,461.388,0.09246,0.96788,1,0.08265,0.00107532,0.00107532,0.00107532
7,541.969,0.05605,0.96574,1,0.0906,0.00100459,0.00100459,0.00100459
8,631.829,0.05673,0.97859,1,0.05827,0.000933851,0.000933851,0.000933851
9,707.833,0.06086,0.98073,1,0.09114,0.000863116,0.000863116,0.000863116
10,785.459,0.04165,0.97645,1,0.10678,0.00079238,0.00079238,0.00079238
11,871.07,0.04175,0.98501,1,0.07004,0.000721645,0.000721645,0.000721645
12,959.986,0.03775,0.98715,1,0.07574,0.000650909,0.000650909,0.000650909
13,1046.54,0.02102,0.97859,1,0.06457,0.000580174,0.000580174,0.000580174
14,1123.77,0.02438,0.98073,1,0.05799,0.000509438,0.000509438,0.000509438
15,1205.27,0.02556,0.97859,1,0.07656,0.000438703,0.000438703,0.000438703
16,1290.68,0.03443,0.98287,1,0.05736,0.000367967,0.000367967,0.000367967
17,1370.44,0.02229,0.9743,1,0.08655,0.000297232,0.000297232,0.000297232
18,1450.21,0.02347,0.98287,1,0.06885,0.000226497,0.000226497,0.000226497
19,1530.21,0.01466,0.97645,1,0.06836,0.000155761,0.000155761,0.000155761
20,1604.94,0.02371,0.97645,1,0.07194,8.50255e-05,8.50255e-05,8.50255e-05
